file,ler_baseline,ler_predecoder,pm_latency_baseline_us,pm_latency_predecoder_us,pm_speedup,model_forward_s,pm_baseline_total_s,pm_predecoder_total_s,gpu_cpu_transfer_s,data_gen_s,syndrome_density_reduction_pct,total_rounds,onnx_workflow,model_params
exp1_pytorch_compile_d7.log,0.00285,0.002424,1.506,0.771,1.952,2.69,1.424,0.412,3.141,2.063,96.69,1835008,torch-only,912772
exp1_pytorch_nocompile_d7.log,0.002794,0.002274,1.521,0.759,2.004,0.451,1.421,0.424,3.43,0.691,87.42,1835008,torch-only,912772
exp1_trt_fp16_d7.log,0.0028,0.00235,1.497,0.772,1.939,0.168,1.421,0.427,3.457,0.71,84.34,1835008,export+TRT,912772
exp1_trt_int8_d7.log,0.002701,0.002272,1.533,0.785,1.953,0.172,1.419,0.426,3.455,0.688,84.27,1835008,export+TRT,912772
exp2_model1_fp32_d7.log,0.002678,0.002176,1.524,0.766,1.989,0.442,1.422,0.409,3.441,0.635,87.48,1835008,torch-only,912772
exp2_model1_trt_fp16_d7.log,0.002743,0.002216,1.512,0.767,1.972,0.149,1.451,0.401,3.467,0.626,84.36,1835008,export+TRT,912772
exp2_model1_trt_int8_d7.log,0.002804,0.002275,1.526,0.782,1.951,0.169,1.427,0.425,3.457,0.723,84.3,1835008,export+TRT,912772
exp2_model4_fp32_d7.log,0.002729,0.001411,1.52,0.746,2.036,0.479,1.418,0.351,5.87,0.692,89.82,1835008,torch-only,1797764
exp2_model4_trt_fp16_d7.log,0.002764,0.001383,1.518,0.738,2.058,0.173,1.423,0.347,5.92,0.66,87.25,1835008,export+TRT,1797764
exp2_model4_trt_int8_d7.log,0.002594,0.001398,1.525,0.733,2.08,0.176,1.42,0.348,5.917,0.689,87.28,1835008,export+TRT,1797764
exp3_trt_fp16_d11.log,0.000555,0.000572,3.125,1.601,1.952,0.157,6.659,3.079,13.684,1.964,89.81,2883584,export+TRT,912772
exp3_trt_fp16_d13.log,0.000193,0.000273,4.231,2.322,1.822,5.341,11.514,5.954,20.635,8.126,97.55,3407872,torch-only,912772
exp3_trt_fp16_d15.log,0.000103,0.000103,5.654,3.252,1.738,0.186,18.291,10.326,35.017,4.683,90.83,3932160,export+TRT,912772
exp3_trt_fp16_d17.log,1.9e-05,4.6e-05,7.469,4.351,1.717,0.204,27.815,16.352,51.143,6.72,91.18,4456448,export+TRT,912772
exp3_trt_fp16_d21.log,8e-06,1e-05,12.261,7.112,1.724,15.154,56.997,34.292,88.515,33.774,97.88,5505024,torch-only,912772
exp3_trt_fp16_d5.log,0.005373,0.003826,1.182,0.773,1.529,1.199,0.412,0.073,1.125,1.851,95.89,1310720,torch-only,912772
exp3_trt_fp16_d7.log,0.002779,0.002277,1.523,0.771,1.975,0.153,1.423,0.399,3.466,0.642,84.38,1835008,export+TRT,912772
exp3_trt_fp16_d9.log,0.001263,0.001181,2.154,1.07,2.014,0.156,3.386,1.302,7.458,1.212,88.95,2359296,export+TRT,912772
exp4_trt_int8_d11.log,0.000549,0.000595,3.11,1.6,1.944,0.157,6.675,3.082,13.686,1.972,89.79,2883584,export+TRT,912772
exp4_trt_int8_d13.log,,,,,,,,,,,,,export+TRT,912772
exp4_trt_int8_d5.log,,,,,,0.156,0.411,0.072,1.237,0.526,84.63,1310720,export+TRT,912772
exp4_trt_int8_d7.log,0.002771,0.002382,1.531,0.774,1.979,0.167,1.424,0.416,3.457,0.692,84.28,1835008,export+TRT,912772
exp4_trt_int8_d9.log,0.00128,0.001253,2.129,1.048,2.031,0.159,3.377,1.302,7.462,1.159,88.9,2359296,export+TRT,912772
